timestamp,instance_count,seq_reached,item_changed_index,item_do_jump_remaining,app_param,seq_current,seq_total,valid,warning,finished,failure,read_complete,stay_in_failsafe,flight_termination,item_do_jump_changed
2326817682,7,-1,0,0,0.0,0,9,1,0,0,0,0,0,0,0
2794223902,7,-1,0,0,0.0,0,9,1,0,0,0,1,0,0,0
2794238333,7,-1,0,0,20.0,0,9,1,0,0,0,1,0,0,0
2794275326,7,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
2803890677,7,-1,0,0,20.0,0,9,1,0,0,0,0,0,0,0
2815514394,7,0,0,0,200.0,1,9,1,0,0,0,0,0,0,0
2833667688,7,1,0,0,20.0,2,9,1,0,0,0,0,0,0,0
2837873231,7,2,0,0,200.0,3,9,1,0,0,0,0,0,0,0
2854329502,7,3,0,0,20.0,4,9,1,0,0,0,0,0,0,0
2858806930,7,4,0,0,200.0,5,9,1,0,0,0,0,0,0,0
2875697160,7,5,0,0,20.0,6,9,1,0,0,0,0,0,0,0
2880049499,7,6,0,0,200.0,7,9,1,0,0,0,0,0,0,0
2896459620,7,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
2896471375,7,7,0,0,0.0,8,9,1,0,0,0,0,0,0,0
2934676369,8,-1,0,0,0.0,8,9,1,0,0,0,0,0,0,0
